,Director Name,Title,Budget,Box Office,Rating,Number of Ratings,Genre,Date of Release,Production House,Runtime,MPAA Rating
6893,D.W. Griffith,The Goddess of Sagebrush Gulch,0.0,0.0,0.0,0.0,Romance,1912-03-25,American Mutoscope & Biograph,17.0,NR
6894,D.W. Griffith,The Bandit’s Waterloo (The Outwitting of an Andalusian Brigand by a Pretty Senora),0.0,0.0,0.0,0.0,Action,1908-08-04,,12.0,
6895,D.W. Griffith,The Ingrate,0.0,0.0,0.0,0.0,Action,1908-11-20,,15.0,
6896,D.W. Griffith,The Planter's Wife,0.0,0.0,0.0,0.0,Action,1908-10-20,,14.0,
6897,D.W. Griffith,The Stolen Jewels,0.0,0.0,0.0,0.0,Drama,1908-09-29,,11.0,
6898,D.W. Griffith,A Woman's Way,0.0,0.0,0.0,0.0,Action,1908-11-24,,11.0,
6899,D.W. Griffith,A Baby's Shoe,0.0,0.0,0.0,0.0,Drama,1909-05-13,,11.0,
6900,D.W. Griffith,The Brahma Diamond,0.0,0.0,0.0,0.0,Adventure,1909-02-04,,11.0,
6901,D.W. Griffith,The Deception,0.0,0.0,0.0,0.0,Drama,1909-03-22,,7.0,
6902,D.W. Griffith,Drive for a Life,0.0,0.0,0.0,0.0,Drama,1909-04-22,,10.0,
6903,D.W. Griffith,Eloping with Auntie,0.0,0.0,0.0,0.0,Romance,1909-05-24,,7.0,
6904,D.W. Griffith,Eradicating Aunty,0.0,0.0,0.0,0.0,Comedy,1909-05-31,,6.0,
6905,D.W. Griffith,His Ward's Love,0.0,0.0,0.0,0.0,Romance,1909-02-15,,3.0,
6906,D.W. Griffith,His Wife's Mother,0.0,0.0,0.0,0.0,Comedy,1909-03-01,,6.0,
6907,D.W. Griffith,Jealousy and the Man,0.0,0.0,0.0,0.0,Comedy,1909-07-09,,5.0,
6908,D.W. Griffith,The Jilt,0.0,0.0,0.0,0.0,,1909-05-17,,0.0,
6909,D.W. Griffith,Jones and His New Neighbors,0.0,0.0,0.0,0.0,,1909-03-29,,0.0,
6910,D.W. Griffith,Jones and the Lady Book Agent,0.0,0.0,0.0,0.0,,1909-05-10,,0.0,
6911,D.W. Griffith,Mr. Jones’ Burglar,0.0,0.0,0.0,0.0,Comedy,1909-08-09,,6.0,
6912,D.W. Griffith,The Medicine Bottle,0.0,0.0,0.0,0.0,,1909-03-29,,0.0,
6913,D.W. Griffith,"Mrs. Jones’ Lover  or, I Want My Hat",0.0,0.0,0.0,0.0,,1909-08-19,,0.0,
6914,D.W. Griffith,The Note in the Shoe,0.0,0.0,0.0,0.0,,1909-05-06,,0.0,
6915,D.W. Griffith,The Prussian Spy,0.0,0.0,0.0,0.0,,1909-03-01,,0.0,
6916,D.W. Griffith,The Road to the Heart,0.0,0.0,0.0,0.0,,1909-04-05,,0.0,
6917,D.W. Griffith,The Roue’s Heart,0.0,0.0,0.0,0.0,,1909-03-08,,0.0,
6918,D.W. Griffith,Schneider’s Anti-Noise Crusade,0.0,0.0,0.0,0.0,,1909-04-08,,0.0,
6919,D.W. Griffith,Those Boys!,0.0,0.0,0.0,0.0,,1909-01-18,,0.0,
6920,D.W. Griffith,Tis an Ill Wind That Blows No Good,0.0,0.0,0.0,0.0,,1909-04-29,,0.0,
6921,D.W. Griffith,A Troublesome Satchel,0.0,0.0,0.0,0.0,,1909-04-19,,0.0,
6922,D.W. Griffith,The Winning Coat,0.0,0.0,0.0,0.0,Drama,1909-04-12,American Mutoscope & Biograph,8.0,NR
6923,D.W. Griffith,The Wooden Leg,0.0,0.0,0.0,0.0,,1909-03-08,,0.0,
6924,D.W. Griffith,A Wreath in Time,0.0,0.0,0.0,0.0,,1909-02-08,,0.0,
6925,D.W. Griffith,The Tavern Keeper’s Daughter,0.0,0.0,0.0,0.0,,1908-07-24,,0.0,
6926,D.W. Griffith,And a Little Child Shall Lead Them,0.0,0.0,0.0,0.0,,1909-03-22,,0.0,
6927,D.W. Griffith,A Burglar’s Mistake,0.0,0.0,0.0,0.0,,1909-03-25,,0.0,
6928,D.W. Griffith,The Death Disc: A Story of the Cromwellian Period,0.0,0.0,0.0,0.0,,1909-12-02,,0.0,
6929,D.W. Griffith,The Eavesdropper,0.0,0.0,0.0,0.0,,1909-05-03,,0.0,
6930,D.W. Griffith,The Expiation,0.0,0.0,0.0,0.0,,1909-10-21,,0.0,
6931,D.W. Griffith,Fool's Revenge,0.0,0.0,0.0,0.0,,1909-03-04,,0.0,
6932,D.W. Griffith,The Hindoo Dagger,0.0,0.0,0.0,0.0,,1909-02-18,,0.0,
6933,D.W. Griffith,In Little Italy,0.0,0.0,0.0,0.0,,1909-12-23,,0.0,
6934,D.W. Griffith,In the Window Recess,0.0,0.0,0.0,0.0,,1909-11-29,,0.0,
6935,D.W. Griffith,Leather Stocking,0.0,0.0,0.0,0.0,,1909-09-27,,0.0,
6936,D.W. Griffith,The Mills of the Gods,0.0,0.0,0.0,0.0,,1909-08-30,,0.0,
6937,D.W. Griffith,A New Trick,0.0,0.0,0.0,0.0,,1909-07-19,,0.0,
6938,D.W. Griffith,A Rude Hostess,0.0,0.0,0.0,0.0,,1909-04-08,,0.0,
6939,D.W. Griffith,Tragic Love,0.0,0.0,0.0,0.0,,1909-02-11,,0.0,
6940,D.W. Griffith,The Call,0.0,0.0,0.0,0.0,,1910-01-20,,0.0,
6941,D.W. Griffith,The Cloister’s Touch,0.0,0.0,0.0,0.0,,1910-01-31,,0.0,
6942,D.W. Griffith,The Duke’s Plan,0.0,0.0,0.0,0.0,,1910-02-10,,0.0,
6943,D.W. Griffith,On the Reef,0.0,0.0,0.0,0.0,,1910-01-17,,0.0,
6944,D.W. Griffith,Italian Blood,0.0,0.0,0.0,0.0,,1911-10-09,,0.0,
6945,D.W. Griffith,The Unveiling,0.0,0.0,0.0,0.0,,1911-10-16,,0.0,
6946,D.W. Griffith,When Kings Were the Law,0.0,0.0,0.0,0.0,,1912-05-20,,0.0,
6947,D.W. Griffith,Biograph Shorts Special Edition: 1909-1913,0.0,0.0,0.0,0.0,,,Kino Video,0.0,NULL
6948,D.W. Griffith,A Griffith Biograph Collection Featuring Mary Pickford: Volume One,0.0,0.0,0.0,0.0,,,,0.0,NULL
6949,D.W. Griffith,The Fight for Freedom,0.0,0.0,0.0,0.0,Western,1908-07-17,American Mutoscope & Biograph,0.0,NR
6950,D.W. Griffith,The Man and the Woman,0.0,0.0,0.0,0.0,Drama,1908-08-14,,13.0,
6951,D.W. Griffith,For Love of Gold,0.0,0.0,0.0,0.0,Crime,1908-08-21,,9.0,
6952,D.W. Griffith,For a Wife's Honor,0.0,0.0,0.0,0.0,Drama,1908-08-28,,8.0,
6953,D.W. Griffith,Mrs. Jones Entertains,0.0,0.0,4.0,1.0,,1909-01-09,,11.0,
6954,D.W. Griffith,I Did It,0.0,0.0,3.0,1.0,,1909-03-15,American Mutoscope & Biograph,4.0,
6955,D.W. Griffith,The Sheriff's Baby,0.0,0.0,0.0,0.0,Western,1913-03-29,Biograph Company,17.0,NR
6956,D.W. Griffith,The Suicide Club,0.0,0.0,0.0,0.0,Comedy,1909-05-03,,4.0,
6957,D.W. Griffith,Bill Sharkey's Last Game,0.0,0.0,0.0,0.0,Western,1910-05-24,Biograph Company,0.0,NULL
